gse,titel,zusammenfassung,n_proben,typ,taxon,datum,achse
GSE151311,3D chromatin organization changes modulate adipogenesis and osteogenesis [ATAC-seq],"Human mesenchymal stem cells (hMSCs) can be differentiated into adipocytes and osteoblasts. While the transcriptomic and epigenomic changes during adipogenesis and osteogenesis have been characterized, what happens to the chromatin loops is hardly known. Here we induced hMSCs to adipogenic and osteogenic differentiation, and performed 2 kb resolution Hi-C experiments for loop detection and generated RNA-seq, histone modification ChIP-seq and ATAC-seq data for integrative analysis before and after differentiation. We quantitatively identified differential contact loops and unique loops. After integrating with multi-omics data, we demonstrate that strengthened loops after differentiation are associated with gene expression activation. Specially, unique loops are linked with cell fate determination. We also proposed loop-mediated regulatory networks and identified IRS2 and RUNX2 as being activated by cell-specific loops to facilitate adipocytes and osteoblasts commitment, respectively. These results are expected to help better understand the long-range regulation in controlling hMSC differentiation, and provide novel targets for studying adipocytes and osteoblasts determination.",4,Genome binding/occupancy profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD
GSE151315,3D chromatin organization changes modulate adipogenesis and osteogenesis [ChIP-seq],"Human mesenchymal stem cells (hMSCs) can be differentiated into adipocytes and osteoblasts. While the transcriptomic and epigenomic changes during adipogenesis and osteogenesis have been characterized, what happens to the chromatin loops is hardly known. Here we induced hMSCs to adipogenic and osteogenic differentiation, and performed 2 kb resolution Hi-C experiments for loop detection and generated RNA-seq, histone modification ChIP-seq and ATAC-seq data for integrative analysis before and after differentiation. We quantitatively identified differential contact loops and unique loops. After integrating with multi-omics data, we demonstrate that strengthened loops after differentiation are associated with gene expression activation. Specially, unique loops are linked with cell fate determination. We also proposed loop-mediated regulatory networks and identified IRS2 and RUNX2 as being activated by cell-specific loops to facilitate adipocytes and osteoblasts commitment, respectively. These results are expected to help better understand the long-range regulation in controlling hMSC differentiation, and provide novel targets for studying adipocytes and osteoblasts determination.",18,Genome binding/occupancy profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD
GSE151319,3D chromatin organization changes modulate adipogenesis and osteogenesis [Hi-C],"Human mesenchymal stem cells (hMSCs) can be differentiated into adipocytes and osteoblasts. While the transcriptomic and epigenomic changes during adipogenesis and osteogenesis have been characterized, what happens to the chromatin loops is hardly known. Here we induced hMSCs to adipogenic and osteogenic differentiation, and performed 2 kb resolution Hi-C experiments for loop detection and generated RNA-seq, histone modification ChIP-seq and ATAC-seq data for integrative analysis before and after differentiation. We quantitatively identified differential contact loops and unique loops. After integrating with multi-omics data, we demonstrate that strengthened loops after differentiation are associated with gene expression activation. Specially, unique loops are linked with cell fate determination. We also proposed loop-mediated regulatory networks and identified IRS2 and RUNX2 as being activated by cell-specific loops to facilitate adipocytes and osteoblasts commitment, respectively. These results are expected to help better understand the long-range regulation in controlling hMSC differentiation, and provide novel targets for studying adipocytes and osteoblasts determination.",19,Other,Homo sapiens,,CCD_CMPD
GSE151322,3D chromatin organization changes modulate adipogenesis and osteogenesis [RNA-seq],"Human mesenchymal stem cells (hMSCs) can be differentiated into adipocytes and osteoblasts. While the transcriptomic and epigenomic changes during adipogenesis and osteogenesis have been characterized, what happens to the chromatin loops is hardly known. Here we induced hMSCs to adipogenic and osteogenic differentiation, and performed 2 kb resolution Hi-C experiments for loop detection and generated RNA-seq, histone modification ChIP-seq and ATAC-seq data for integrative analysis before and after differentiation. We quantitatively identified differential contact loops and unique loops. After integrating with multi-omics data, we demonstrate that strengthened loops after differentiation are associated with gene expression activation. Specially, unique loops are linked with cell fate determination. We also proposed loop-mediated regulatory networks and identified IRS2 and RUNX2 as being activated by cell-specific loops to facilitate adipocytes and osteoblasts commitment, respectively. These results are expected to help better understand the long-range regulation in controlling hMSC differentiation, and provide novel targets for studying adipocytes and osteoblasts determination.",6,Expression profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD
GSE151556,Epigenomic translocation of H3K4me3 broad domains following super-enhancer hijacking,"Chromosomal translocations are important drivers of haematological malignancies whereby proto-oncogenes are activated by juxtaposition with super-enhancers, often called super-enhancer hijacking. We analysed the epigenomic consequences of rearrangements between the enhancers of the immunoglobulin heavy chain locus (IGH) and proto-oncogene CCND1 that are common in B-cell malignancies. By integrating BLUEPRINT epigenomic data with DNA breakpoint detection, we characterised the normal chromatin landscape of the human IGH locus and its dynamics after pathological genomic rearrangement. We detected an H3K4me3 broad domain (BD) within the IGH locus of healthy B-cells that was absent in samples with IGH-CCND1 translocations. The appearance of H3K4me3-BD over CCND1 in the latter was associated with overexpression and extensive chromatin accessibility of this locus. We observed similar cancer-specific H3K4me3-BDs associated with super-enhancer hijacking of other common oncogenes in B-cell (MAF, MYC and FGFR3) and in T-cell malignancies (LMO2, TLX3 and TAL1). Our analysis suggests that H3K4me3-BDs are created by super-enhancers and supports the new concept of epigenomic translocation, where the relocation of H3K4me3-BDs accompanies the translocation of super-enhancers.",16,Genome binding/occupancy profiling by high throughput sequencing,Homo sapiens,,FGFR3
GSE151605,FDPS-regulated transcriptome profile revealed its potential functions in osteoporosis as an RNA binding protein,"Farnesyl diphosphate synthase (FDPS), an essencial enzyme involved in mevalonate pathway, is implicated in cancers and osteoporosis by catalyzing head to tail condensation of two molecules of isopentenyl pyrophosphate with dimethylallyl pyrophosphate to form farnesyl pyrophosphate. It has also been identified as an RNA-binding protein (RBP). However, it’s exactly RNA-binding function in diseases, up to now, remain unknown. In the present study, the function of FDPS in HeLa cells was investigated with FDPS overexpression. The results showed that FDPS overexpression promoted proliferation in HeLa cells. FDPS overexpression extensively regulated the expression of genes in cell proliferation, cytokine-mediated signaling pathway, and extracellular matrix organization. In addition, FDPS extensively regulated the alternative splicing of numbers of genes related with osteoporosis, including NAB1, FGFR3, and ALPL, and FDPS-regulated DEGs and ASEs were highly validated by RT-qPCR. This is the first study to investigate the properties of FDPS as an RBP from a genome-wide perspective, our results suggested that FDPS acts as an RBP playing an important role in cancer progression and osteoporosis by altering gene expression and regulating alternative splicing, which contributes to a precise understanding of potentially FDPS-targeted therapies.",4,Expression profiling by high throughput sequencing,Homo sapiens,,FGFR3
GSE151819,RUNX2 is a dependency factor in immature and KMT2A-rearranged T-cell acute lymphoblastic leukemia [RUNX2 ChIP-seq],"T-cell acute lymphoblastic leukemia (T-ALL) is an aggressive hematologic malignancy with a high incidence of relapse. Here we show that Runt-related transcription factor 2, RUNX2 is upregulated in high-risk T-ALL with KMT2A rearrangements (KMT2A-R) or immature phenotype. In KMT2A-R cells, we identified RUNX2 as a direct target of the KMT2A chimeras, while it reciprocally binds the KMT2A promoter, establishing a regulatory feed-forward mechanism. Notably, RUNX2 is required for survival in immature and KMT2A-R T-ALL in vitro and in vivo. We report a direct transcriptional regulation of CXCR4 signaling by RUNX2, which thereby promotes cell migration and adhesion. Functionally, RUNX2 impacts T-ALL cell homing and exacerbates T-ALL progression to medullary and extramedullary sites. We demonstrate that RUNX2 enables these energy-demanding processes by increasing metabolic activity in T-ALL cells through positive regulation of both glycolysis and oxidative phosphorylation. Concurrently, RUNX2 upregulation results in increased mitochondrial dynamics and biogenesis in T-ALL cells. As a proof of concept, immature and KMT2A-R T-ALL cells are vulnerable to pharmacological targeting of the interaction of RUNX2 with its co-factor CBFβ. In conclusion, we identify RUNX2 a dependency factor in immature and KMT2A-R T-ALL that regulates cell metabolism and disease progression",7,Genome binding/occupancy profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD
GSE151820,RUNX2 is a dependency factor in immature and KMT2A-rearranged T-cell acute lymphoblastic leukemia [KARPAS-45 RUNX2 shRNA knockdown RNA-seq],"T-cell acute lymphoblastic leukemia (T-ALL) is an aggressive hematologic malignancy with a high incidence of relapse. Here we show that Runt-related transcription factor 2, RUNX2 is upregulated in high-risk T-ALL with KMT2A rearrangements (KMT2A-R) or immature phenotype. In KMT2A-R cells, we identified RUNX2 as a direct target of the KMT2A chimeras, while it reciprocally binds the KMT2A promoter, establishing a regulatory feed-forward mechanism. Notably, RUNX2 is required for survival in immature and KMT2A-R T-ALL in vitro and in vivo. We report a direct transcriptional regulation of CXCR4 signaling by RUNX2, which thereby promotes cell migration and adhesion. Functionally, RUNX2 impacts T-ALL cell homing and exacerbates T-ALL progression to medullary and extramedullary sites. We demonstrate that RUNX2 enables these energy-demanding processes by increasing metabolic activity in T-ALL cells through positive regulation of both glycolysis and oxidative phosphorylation. Concurrently, RUNX2 upregulation results in increased mitochondrial dynamics and biogenesis in T-ALL cells. As a proof of concept, immature and KMT2A-R T-ALL cells are vulnerable to pharmacological targeting of the interaction of RUNX2 with its co-factor CBFβ. In conclusion, we identify RUNX2 a dependency factor in immature and KMT2A-R T-ALL that regulates cell metabolism and disease progression",30,Expression profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD
GSE151821,RUNX2 is a dependency factor in immature and KMT2A-rearranged T-cell acute lymphoblastic leukemia [KARPAS-45 AI-10-104 RNA-seq],"T-cell acute lymphoblastic leukemia (T-ALL) is an aggressive hematologic malignancy with a high incidence of relapse. Here we show that Runt-related transcription factor 2, RUNX2 is upregulated in high-risk T-ALL with KMT2A rearrangements (KMT2A-R) or immature phenotype. In KMT2A-R cells, we identified RUNX2 as a direct target of the KMT2A chimeras, while it reciprocally binds the KMT2A promoter, establishing a regulatory feed-forward mechanism. Notably, RUNX2 is required for survival in immature and KMT2A-R T-ALL in vitro and in vivo. We report a direct transcriptional regulation of CXCR4 signaling by RUNX2, which thereby promotes cell migration and adhesion. Functionally, RUNX2 impacts T-ALL cell homing and exacerbates T-ALL progression to medullary and extramedullary sites. We demonstrate that RUNX2 enables these energy-demanding processes by increasing metabolic activity in T-ALL cells through positive regulation of both glycolysis and oxidative phosphorylation. Concurrently, RUNX2 upregulation results in increased mitochondrial dynamics and biogenesis in T-ALL cells. As a proof of concept, immature and KMT2A-R T-ALL cells are vulnerable to pharmacological targeting of the interaction of RUNX2 with its co-factor CBFβ. In conclusion, we identify RUNX2 a dependency factor in immature and KMT2A-R T-ALL that regulates cell metabolism and disease progression",8,Expression profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD
GSE151823,RUNX2 is a dependency factor in immature and KMT2A-rearranged T-cell acute lymphoblastic leukemia,This SuperSeries is composed of the SubSeries listed below.,54,Genome binding/occupancy profiling by high throughput sequencing; Expression profiling by high throughput sequencing,Mus musculus; Homo sapiens,,CCD_CMPD
GSE151918,Control and FOP Human iPSC derived myogenic cell single cell RNA sequencing,We compared the transcriptome of sorted muscle stem/progenitor cells differentiated from control and FOP (ACVR1 R206H (c.617>A)) human induced pluripotent stem cells.,2,Expression profiling by high throughput sequencing,Homo sapiens,,FOP
GSE152016,Statin-induced microRNAome alterations in patients with hypercholesterolemia,"This study investigates miRNA expression profiles from peripheral blood specimens in patients with hypercholesterolemia. Our findings demonstrated that miRNA regulations could be involved in statin-induced inflammation modulation in immune cells, thereby providing an anti-inflammatory approach to reduce residual ASCVD risk in individuals with optimal lipid control.",68,Non-coding RNA profiling by array,synthetic construct; Homo sapiens,,MPS
GSE153260,The clinical significance of regulatory variants at the GDF5 locus in joint disease,Genetic variants in cis-regulatory regions of GDF5 can lead to common joint diseases with high degrees of joint specificity.,5,Genome binding/occupancy profiling by high throughput sequencing,Homo sapiens,,FREITEXT_WACHSTUMSFUGE
GSE153642,CBFβ promotes colorectal tumor growth and metastasis in a RUNX2-dependent manner (RNA-seq),"Transcriptional regulation is critically involved in colorectal cancer (CRC) pathogenesis, the mechanism of which remains incompletely understood. Here, we report that core-binding factor β (CBFβ) is commonly upregulated in human colorectal cancer and is associated with the survival rate of CRC patients. Immunohistochemistry (IHC) analysis of RUNX1-3 expression in CRC patients and other in vitro data revealed that CBFβ promotes cell proliferation and liver metastasis in a RUNX2-dependent way. Transcriptome sequencing, ChIP-seq and promoter-binding experiments demonstrated that the CBFβ/RUNX2 complex could activate the transcription of OPN, FAM129A and UPP1. Furthermore, CBFβ significantly promoted tumor growth and lung metastasis in a mouse xenograft model and an orthotopic liver metastasis model of CRC.  Additionally, we identified that tumor-suppressive miR-143/145 could synergistically target CBFβ by specifically binding to its 3’-UTR region. An inverse correlation between miR-143/145 and CBFβ was verified in CRC patients. Our results represent the first report describing a mechanistic role for CBFβ-RUNX2 in the transcriptional activation of OPN, FAM129A and UPP1 in controlling colorectal cancer development, which may offer prognostic and therapeutic opportunities.",4,Expression profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD
GSE153682,CBFβ promotes colorectal tumor growth and metastasis in a RUNX2-dependent manner (ChIP-seq),"Transcriptional regulation is critically involved in colorectal cancer (CRC) pathogenesis, the mechanism of which remains incompletely understood. Here, we report that core-binding factor β (CBFβ) is commonly upregulated in human colorectal cancer and is associated with the survival rate of CRC patients. Immunohistochemistry (IHC) analysis of RUNX1-3 expression in CRC patients and other in vitro data revealed that CBFβ promotes cell proliferation and liver metastasis in a RUNX2-dependent way. Transcriptome sequencing, ChIP-seq and promoter-binding experiments demonstrated that the CBFβ/RUNX2 complex could activate the transcription of OPN, FAM129A and UPP1. Furthermore, CBFβ significantly promoted tumor growth and lung metastasis in a mouse xenograft model and an orthotopic liver metastasis model of CRC.  Additionally, we identified that tumor-suppressive miR-143/145 could synergistically target CBFβ by specifically binding to its 3’-UTR region. An inverse correlation between miR-143/145 and CBFβ was verified in CRC patients. Our results represent the first report describing a mechanistic role for CBFβ-RUNX2 in the transcriptional activation of OPN, FAM129A and UPP1 in controlling colorectal cancer development, which may offer prognostic and therapeutic opportunities.",2,Genome binding/occupancy profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD
GSE154060,Antibody blockade resets CHI3L1-induced glioma stem cell phenotypic transitions and reduces glioblastoma tumor burden,"CHI3L1 (Chitinase 3-like1) is one of the highest expressed genes in glioblastoma and is associated with therapy resistance and low survival of patients. Here, we show that exposure of glioma stem cells (GSCs) to CHI3L1 induces marked phenotypic and transcriptomic change from CD133+/SOX2+ pro-neural to CD44+/CHI3L1+ mesenchymal phenotype. CHI3L1 induces chromatin remodeling in GSCs and regulates accessibility of ZNF281, CTCFL, SOX9, and the OCT4-SOX2-TCF3-NANOG transcription factor complex that drive the CHI3L1-mediated mesenchymal “switch” and maintain GSC identity.",4,Genome binding/occupancy profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD
GSE154170,Promotion of Cholangiocarcinoma Growth by Diverse Cancer-associated Fibroblast Subpopulations,"Here we analyzed mouse and human samples to characterize origin, subtypes, functions and cell-cell interactions of cancer-associated fibroblasts in cholangiocarcinoma, a highly desmoplastic tumor of the liver. Hepatic stellate cell-derived cancer-associated fibroblasts were isolated from two different models of murine intrahepatic cholangiocarcinoma, induced by overexpression of YAP+AKT or KRASG12D in combination with sg-p19, and compared by bulk RNA-sequencing to hepatic stellate cells from two models of liver fibrosis, induced by bile duct ligation or DDC diet. CAF-enriched fractions of from YAP+AKT or KRAS/sg-p19-induced intrahepatic cholangiocarcinoma, were analyzed by single-cell RNA sequencing. A cell suspension from human cholangiocarcinoma, containing all cell populations, was analyzed by single cell RNA-sequencing.",24,Expression profiling by high throughput sequencing,Mus musculus; Homo sapiens,,OI
GSE154261,Identification of Differential Tumor Subtypes of T1 Bladder Cancer,"Stage T1 bladder cancers have the highest progression and recurrence rates of all non-muscle invasive bladder tumors. T1 tumors are heterogeneous; while most T1 patients are treated with BCG, many will progress and die from bladder cancer, and particularly aggressive tumors could be treated by early cystectomy. To better understand the molecular heterogeneity of T1 cancers, we performed transcriptome profiling and unsupervised clustering, identifying five consensus subtypes of T1 tumors treated with reTUR, induction and maintenance BCG. The T1-LumGU subtype was associated with CIS (6/13, 46% of all CIS), had high E2F1 and EZH2 expression, and enriched E2F target and G2M checkpoint Hallmarks. T1-Inflam was inflamed and infiltrated with immune cells. While most T1 tumors were classified as luminal papillary, the T1-TLum subtype had the highest median Luminal Papillary score and FGFR3 expression, no recurrence events, and the fewest copy number gains. T1-Myc and T1-Early subtypes had the most recurrences (14/30 within 24 months), highest median MYC expression, and, when combined, had significantly worse recurrence-free survival than the other three subtypes. T1-Early had 5 (38%) recurrences within the first 6 months of BCG, and repressed IFN-alpha and IFN-gamma Hallmarks and inflammation. We developed a single-patient T1 classifier and validated our subtype biology in a second cohort of T1 tumors. Future research will be necessary to validate the proposed T1 subtypes and to determine if therapies can be individualized for each subtype.",99,Expression profiling by high throughput sequencing,Homo sapiens,,FGFR3
GSE15431,Global Gene Expression in the Human Fetal Testis and Ovary,"This study describes a temporal profile of gene expression from normal human fetal testes and ovaries.  Gonads from 34 fetuses between 9 weeks and 20 weeks of gestation were obtained from the Department of Pathology and the Birth Defects Research Laboratory at the University of Washington.  Relative transcript levels were determined using the Affymetrix Human Genome U133A Plus 2.0 arrays.  Sex determination occurs in the human gonad at approximately 6 weeks gestation with development of the testis driven by expression of SRY.   In this study, SRY transcript was present and elevated at 9 weeks gestation in the testis but absent in the ovary. The transcript levels of other testis-specific factors SOX9, AMH, and the steroidogenic genes CYP17a1, CYP11a1, STAR and HSD17β3 were all significantly higher in the testis.  In contrast, transcripts known to be involved in meiosis including STRA8, SPO11, SYCP3, TEX11, TEX14 and STAG3 showed highest expression in the fetal ovary beginning at week 12.  These gene expression profiles will be a resource for understanding and defining normal gonad development and provide the opportunity to dissect abnormal development.",34,Expression profiling by array,Homo sapiens,,CCD_CMPD
GSE154876,CBFβ promotes colorectal tumor growth and metastasis in a RUNX2-dependent manner,This SuperSeries is composed of the SubSeries listed below.,6,Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD
GSE155282,Chromatin profiling of HUVECs,"We analyzed SOX9 binding and the global effect of SOX9 overexpression on chromatin accessibility and enrichment of histone modifications (H3K4me1, H3K27ac, H3K27me3, H3S28P) by CUT&RUN, CUT&Tag, and ATAC-seq of HUVECs transduced with SOX9 expression plasmid or an empty vector control.",32,Genome binding/occupancy profiling by high throughput sequencing; Other,Homo sapiens,,CCD_CMPD
GSE155290,Transcriptome sequencing of HUVECs,We analyzed the global effect of SOX9 overexpression by sequencing the transcriptomes of HUVECs transduced with SOX9 expression plasmid or an empty vector control.,6,Expression profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD
GSE155693,Epigenomic profiling of TASOR in Hela cells using CUT&RUN and CUT&Tag,Targeted epigenomic profiling methods CUT&RUN and CUT&Tag were used to examine TASOR genome binding and TASOR-regulated H3K9me3 deposition on chromatin.,26,Genome binding/occupancy profiling by high throughput sequencing,Homo sapiens,,PSACH_MED
GSE155746,Ant-leukemic effect of CDK9 inhibition in T-cell prolymphocytic leukemia (microRNA),"We investigated the pharmacological effects of the novel highly specific cyclin-dependent kinase 9 (CDK9) inhibitor LDC526 and its clinically used derivate atuveciclib employing primary T-PLL cells in an ex vivo drug sensitivity testing platform. All T-PLL samples were sensitive to CDK9 inhibition at submicromolar concentrations while conventional cytotoxic drugs were found to be largely ineffective. At the cellular level LDC526 inhibited the phosphorylation at serine 2 of the RNA polymerase II C-terminal domain resulting in decreased de novo RNA transcription. LDC526 induced apoptotic leukemic cell death through down-regulating MYC and MCL1 both at the mRNA and protein level. Microarray based transcriptomic profiling revealed that genes down-modulated in response to CDK9 inhibition were enriched for MYC and JAK-STAT targets. By contrast, CDK9 inhibition increased the expression of the tumor suppressor FBXW7 which may contribute to decreased MYC and MCL1 protein levels. The combination of atuvecliclib and the BCL2 inhibitor venetoclax exhibited synergistic anti-leukemic activity, providing the rationale for a novel targeted-agent based treatment of T-PLL.",15,Non-coding RNA profiling by array,synthetic construct; Homo sapiens,,MPS
GSE155824,Epigenomic profiling of H3K9me3 in the absence and presence of Periphilin variants,Targeted epigenomic profiling method CUT&RUN was used to examine PPHLN-regulated H3K9me3 deposition on chromatin.,11,Genome binding/occupancy profiling by high throughput sequencing,Homo sapiens,,PSACH_MED
GSE156073,Intracellular Staphylococcus aureus perturbs the host cell Ca2+-homeostasis to promote cell death,"The pathogen Staphylococcus aureus can invade and survive within human cells. There,  the intracellular bacterium induces host cell death, which may facilitate spread of infection and tissue destruction.  We here conducted a shRNA screen and infected the library of knock-down cells with S. aureus. We identified calcium signaling pathways to play a role in S. aureus invasion and cytotoxicity. For latter, the intracellular bacteria induce a cytoplasmic and mitochondrial Ca2+-overload, which results in host cell death.",30,Expression profiling by high throughput sequencing,Homo sapiens,,MPS
GSE156459,RNA-sequencing of peripheral blood in FOP patients,We combined the results of scRNA-seq of PBMCs with total RNA sequencing of peripheral blood to find out the most remarkable different subgroup and the corresponding DEGs.,5,Expression profiling by high throughput sequencing,Homo sapiens,,FOP
GSE156464,Single cell RNA-sequencing of PBMCs in FOP patients,We described a genetic map of PBMCs in FOP patients by using single-cell RNA sequencing for the first time.,6,Expression profiling by high throughput sequencing,Homo sapiens,,FOP
GSE156466,RNA-Seq of peripheral blood in FOP patients,This SuperSeries is composed of the SubSeries listed below.,11,Expression profiling by high throughput sequencing,Homo sapiens,,FOP
GSE156617,Genome wide mRNA sequencing of induced pluripotent stem cell (iPSC) diffrentiated neural stem cells (NSCs).,"The NSC differentiation of six validated iPSC lines were induced using commercially available PSC neural induction medium and following manufacturer method with minor modifications (Gibco). An extensive characterization of generated NSCs on day 14 (at passage P1) was performed using immunocytochemistry (ICC) analysis of the NSC specific markers and by genome wide mRNA sequencing. The iPSC differentiated NSCs expressed NSC specific markers Nestin, PAX6, SOX1 and SOX2 across all six samples. The average correlation coefficient at 95% CI between 6 NSC samples, calculated based on all expressed mRNAs, was 0.97 ± 0.008 suggesting a uniform differentiation of generated NSC lines. The generated NSC showed high expression of neuroepithelial genes/transcription factors (NES, SOX2, SOX1, PAX6, NOTCH1, MSI1,and CHD2) and genes/transcription factors of dorsal tube neuroepithelium (PAX3, GDF7, SOX9 and SNAI2) but lacked the expression of ventral tube neuroepithelial markers (NKX2-2, FOXA2 and SHH) suggesting a dorsal tube neuroepithelial transcriptomic and functional profile of the generated NSCs. A differential gene expression analysis of iPSC’s and NSC’s expressed transcription identified 4,033 mRNAs that were significantly differentially expressed (DE) between iPSCs and differentiated NSCs. The 2,006 DE mRNA were significantly upregulated in differentiated NSCs and were highly enriched in developmental functional categories such as embryonic development (572 mRNAs; FDR adjusted p-value range: 1.92x10-53 – 3.26x10-9), organism development (749 mRNAs; FDR adjusted p-value range: 1.92x10-53 – 4.30x10-9), nervous system development and function (629 mRNAs; FDR adjusted p-value range: 3.23x10-48 – 4.15x10-9), tissue development (655 mRNAs; FDR adjusted p-value range: 3.63x10-40 – 4.32x10-9) and organ development (406 mRNAs; FDR adjusted p-value range: 8.74x10-40 – 2.37x10-9).",6,Expression profiling by high throughput sequencing,Homo sapiens,,CCD_CMPD
GSE156715,miRNA profiling analysis in high-risk intestinal GIST,"Prognosis in Gastrointestinal Stromal Tumors (GIST) depends on clinical and pathological parameters that may be little objective, thus it is necessary to have other molecular biomarkers in the management of the disease.",14,Non-coding RNA profiling by array,synthetic construct; Homo sapiens,,MPS
GSE156857,Strand asymmetry in MPRA Signal,"We analyzed data from sequencing-based massively parallel reporter assays (MPRAs) retaining the strand orientation of the alignments. These analyses showed pervasive asymmetry in reporter signal from test element strand orientation.  Present in elements derived from all regions of the human genome, we found test elements derived from gene bodies display concordant strand asymmetry with the sense orientation of the gene body.  Furthermore, we observe that test elements form Alu sequence also present concordant strand asymmetry with Alu retrotransposon features.  We establish sequence features that drive some of this asymmetry.",28,Other,Homo sapiens,,MPS
GSE157089,Loss of UTX/KDM6A and the activation of FGFR3 converge to regulate differentiation gene expression programs in bladder cancer [RNA-seq],"Bladder cancer prognosis is closely linked to the underlying differentiation state of the tumor, ranging from the less aggressive and most differentiated luminal tumors to the more aggressive and least differentiated basal tumors. Sequencing of bladder cancer has revealed that loss-of-function mutations in chromatin regulators and mutations that activate receptor tyrosine kinase (RTK) signaling frequently occur in bladder cancer. However, little is known as to whether and how these two types of mutations functionally interact or cooperate to regulate tumor growth and differentiation state. Here, we focus on loss of the histone demethylase UTX (also known as KDM6A) and activation of the RTK FGFR3, two events that commonly co-occur in muscle invasive bladder tumors. We show that UTX loss and FGFR3 activation cooperate to disrupt the balance of luminal and basal gene expression in bladder cells. UTX localized to enhancers surrounding many genes that are important for luminal cell fate, and supported the transcription of these genes in a catalytic-independent manner. In contrast to UTX, FGFR3 activation was associated with lower expression of luminal genes in tumors and FGFR inhibition increased transcription of these same genes in cell culture models. This suggests an antagonistic relationship between UTX and FGFR3. In support of this model, UTX loss-of-function potentiated FGFR3-dependent transcriptional effects and the presence of UTX blocked an FGFR3-mediated increase in the colony formation of bladder cells. Taken together, our study reveals how mutations in UTX and FGFR3 converge to disrupt bladder differentiation programs that could serve as a therapeutic target.",30,Expression profiling by high throughput sequencing,Homo sapiens,,FGFR3
GSE157090,Loss of UTX/KDM6A and the activation of FGFR3 converge to regulate differentiation gene expression programs in bladder cancer [ChIP-seq],"Bladder cancer prognosis is closely linked to the underlying differentiation state of the tumor, ranging from the less aggressive and most differentiated luminal tumors to the more aggressive and least differentiated basal tumors. Sequencing of bladder cancer has revealed that loss-of-function mutations in chromatin regulators and mutations that activate receptor tyrosine kinase (RTK) signaling frequently occur in bladder cancer. However, little is known as to whether and how these two types of mutations functionally interact or cooperate to regulate tumor growth and differentiation state. Here, we focus on loss of the histone demethylase UTX (also known as KDM6A) and activation of the RTK FGFR3, two events that commonly co-occur in muscle invasive bladder tumors. We show that UTX loss and FGFR3 activation cooperate to disrupt the balance of luminal and basal gene expression in bladder cells. UTX localized to enhancers surrounding many genes that are important for luminal cell fate, and supported the transcription of these genes in a catalytic-independent manner. In contrast to UTX, FGFR3 activation was associated with lower expression of luminal genes in tumors and FGFR inhibition increased transcription of these same genes in cell culture models. This suggests an antagonistic relationship between UTX and FGFR3. In support of this model, UTX loss-of-function potentiated FGFR3-dependent transcriptional effects and the presence of UTX blocked an FGFR3-mediated increase in the colony formation of bladder cells. Taken together, our study reveals how mutations in UTX and FGFR3 converge to disrupt bladder differentiation programs that could serve as a therapeutic target.",24,Genome binding/occupancy profiling by high throughput sequencing,Homo sapiens,,FGFR3
GSE157091,Loss of UTX/KDM6A and the activation of FGFR3 converge to regulate differentiation gene expression programs in bladder cancer,This SuperSeries is composed of the SubSeries listed below.,54,Expression profiling by high throughput sequencing; Genome binding/occupancy profiling by high throughput sequencing,Homo sapiens,,FGFR3
GSE157147,Different expression of circRNAs in blood from idiopathic short stature patients and healthy controls,"Idiopathic short stature is diagnosed by a standing height of less than two standard deviation scores in a specific population adjusted for age and gender and the exclusion of identifiable diseases. A series of studies have confirmed that noncoding RNAs can regulate the chondrocyte proliferation, hypertrophy, and endochondral ossification in the growth plate. In order to analyze and find differentially expressed circRNAs in Idiopathic short stature and healthy controls, we aimed to explore whether differentially expressed circRNAs in idiopathic short stature. Four pairs of blood samples were subjected to microarray analysis using the Arraystar Human CircRNAs Microarray v2 (Arraystar, USA). Compared to normal individuals, in ISS patients, the expression levels of 83 circRNAs were upregulated and those of 62 were downregulated.",8,Non-coding RNA profiling by array,Homo sapiens,,FREITEXT_KLEINWUCHS|FREITEXT_WACHSTUMSFUGE
