sonde,symbol
cg12682862,RARS
cg12684744,RASGEF1C
cg12687157,MARVELD2
cg12688234,FAM196B
cg12711961,LRRC14B
cg12727795,PDGFRB
cg12760261,CEP120
cg12766348,CLK4
cg12809787,SRP19
cg12810152,FGF1
cg12811552,ATP6V0E1
cg12812838,MIR103-1
cg12813192,C6
cg12816057,HTR4
cg12824106,SLC38A9
cg12825070,HTR4
cg12825773,NKX2-5
cg12825946,UBE2B
cg12827530,CKMT2
cg12828867,IPO11
cg12832313,PCDHAC2
cg12832649,SPOCK1
cg12833011,KCNIP1
cg12834306,C5orf41
cg12840933,ANKRD34B
cg12842302,HOMER1
cg12845808,PCDH12
cg12847007,GALNT10
cg12849359,PAPD4
cg12852390,C5orf24
cg12854656,ACSL6
cg12855547,MCC
cg12856561,C5orf13
cg12862231,CSF1R
cg12862548,C5orf36
cg12862548,ANKRD32
cg12862950,SCAMP1
cg12863633,ANKRD32
cg12863633,C5orf36
cg12864235,CDH9
cg12864568,SLCO4C1
cg12864597,GPR150
cg12866104,CAST
cg12871124,STARD4
cg12877039,PCDHGC3
cg12878260,CXXC5
cg12879242,KCNN2
cg12879339,MFAP3
cg12879339,FAM114A2
cg12879386,CCNG1
cg12880658,CDO1
cg12882476,CCDC112
cg12882697,SLC6A3
cg12884779,DUSP1
cg12886812,RAD50
cg12890750,VTRNA1-2
cg12894709,PURA
cg12900170,COX7C
cg12902741,HMGCS1
cg12904904,SGCD
cg12905574,C5orf24
cg12905673,JAKMIP2
cg12908517,SDCCAG10
cg12910830,MAT2B
cg12912258,SLC22A4
cg12916671,BTNL9
cg12921342,TSPAN17
cg12923585,ANKRD43
cg12924095,G3BP1
cg12927498,FCHSD1
cg12928668,SEMA6A
cg12932211,LOC100286948
cg12936220,RPL26L1
cg12938520,SH3PXD2B
cg12940040,BTNL8
cg12940822,FBN2
cg12950181,FAM172A
cg12951098,LSM11
cg12952341,HARS2
cg12952341,HARS
cg12953256,CCDC69
cg12955789,RASGEF1C
cg12960467,CDKL3
cg12960782,DEPDC1B
cg12962191,PCDHA7
cg12962599,SLC1A3
cg12964860,BRD8
cg12964860,KIF20A
cg12966915,NSUN2
cg12966915,SRD5A1
cg12967370,RFESD
cg12974258,CSF1R
cg12980527,NIPBL
cg12990410,PCDHB4
cg12995800,GLRA1
cg12998533,C5orf34
cg13000136,TTC23L
cg13003311,GPR98
cg13005910,UBE2D2
cg13007349,HSPA9
cg13009662,SLC12A2
cg13009662,FLJ33630
cg13011109,FBLL1
cg13012653,CAST
cg13013671,CCDC112
cg13018402,SH3TC2
cg13022679,PCDHA6
cg13023677,FAM53C
cg13024389,MRPL22
cg13028113,C5orf43
cg13033509,SRFBP1
cg13034654,PPWD1
cg13034654,CENPK
cg13035218,TPPP
cg13041269,SQSTM1
cg13042129,CCNJL
cg13043177,CCDC99
cg13046271,TCF7
cg13048822,PCDHGB1
cg13049992,GRAMD3
cg13050967,PDLIM7
cg13081720,GPX3
cg13089454,PCDHB6
cg13112511,PDE4D
cg13144823,CXXC5
cg13156863,TAF7
cg13202751,SLC6A3
cg13206302,SPATA24
cg13214422,MYOZ3
cg13216695,ZNF131
cg13228972,TRIM41
cg13229360,SH3PXD2B
cg13237906,SLC26A2
cg13259290,CSF2
cg13267747,FCHSD1
cg13280184,PLK2
cg13283199,PCDHB7
cg13284426,RAB24
cg13288164,PCDHB4
cg13289553,SUB1
cg13290745,FABP6
cg13292202,TSSK1B
cg13295463,PCDHA12
cg13303313,VTRNA1-2
cg13303682,ACTBL2
cg13304760,DDX41
cg13305415,SPRY4
cg13307880,PCDHGA5
cg13309828,PCDHA8
cg13313046,FAM53C
cg13314260,RNF14
cg13319042,SPARC
cg13320626,ST8SIA4
cg13323825,CMBL
cg13323902,VTRNA1-1
cg13326338,SIL1
cg13327935,PDZD2
cg13330050,CCDC112
cg13331011,CXXC5
cg13331446,ERAP2
cg13332123,C5orf40
cg13333800,GRAMD3
cg13334727,SEPT8
cg13336665,NEUROG1
cg13337064,PCDHB15
cg13337201,FCHO2
cg13345430,PARP8
cg13349425,C5orf20
cg13349651,RXFP3
cg13352495,CCNO
cg13353311,DEPDC1B
cg13357455,PCBD2
cg13364558,SEMA6A
cg13365209,UQCRQ
cg13368756,CTNND2
cg13372456,GALNT10
cg13373085,SLC22A4
cg13373406,G3BP1
cg13374867,C5orf34
cg13377885,CEP120
cg13378628,OTP
cg13390975,RAD1
cg13390975,BRIX1
cg13393851,PCDHGB1
cg13393914,AFF4
cg13396289,ANKH
cg13400018,C5orf52
cg13404427,PDE4D
cg13404558,PANK3
cg13408430,SV2C
cg13432928,FAM170A
cg13436055,F2R
cg13453847,LOC340094
cg13466487,CMBL
cg13490971,NDFIP1
cg13500819,MGC29506
cg13531667,MCC
cg13557668,FBXL21
cg13560436,MIER3
cg13564889,CPLX2
cg13565585,AFF4
cg13566430,IL13
cg13566919,GZMA
cg13570101,NKX2-5
cg13571358,TMEM171
cg13576061,IL6ST
cg13576342,NIPAL4
cg13577149,C5orf20
cg13581034,SFXN1
cg13581847,ELOVL7
cg13581941,CDC23
cg13589840,PPP1R2P3
cg13590277,SYNPO
cg13590816,PRRC1
cg13592931,PCDHA10
cg13597632,HMGCS1
cg13598256,PCDHGA11
cg13598790,SLC38A9
cg13599007,FABP6
cg13601275,PCDHB5
cg13601475,GRPEL2
cg13603589,ADAMTS16
cg13605172,CEP120
cg13613983,PURA
cg13619597,PCDHA12
cg13624320,H2AFY
cg13627416,IPO11
cg13632070,SERINC5
cg13636908,JMY
cg13641692,PRELID1
cg13644239,BRD9
cg13644239,TRIP13
cg13647118,TMEM167A
cg13647118,XRCC4
cg13648157,EFCAB9
cg13648373,IL6ST
cg13648501,NR3C1
cg13649383,MATR3
cg13650304,PCDHGA5
cg13652314,RAD50
cg13653328,ABLIM3
cg13654253,SLC22A4
cg13656501,TRIM41
cg13660086,MYOT
cg13660803,ROPN1L
cg13663945,ATP6AP1L
cg13665300,STK32A
cg13665998,NUDT12
cg13666507,HTR1A
cg13674042,STARD4
cg13676583,DOK3
cg13688524,BOD1
cg13689918,NHP2
cg13690989,MEF2C
cg13691824,TIFAB
cg13692121,FAM196B
cg13692902,RAD1
cg13692902,BRIX1
cg13695535,MAST4
cg13695646,BHMT
cg13697715,LOC202181
cg13700051,TTC33
cg13701109,ADAMTS19
cg13701615,PDCD6
cg13702053,IRX2
cg13703437,FYB
cg13707560,NME5
cg13707793,CXXC5
cg13710842,FCHO2
cg13712023,ARAP3
cg13715761,AGGF1
cg13716421,HSD17B4
cg13717023,ARL15
cg13718539,PCDHGA11
cg13722821,BRD9
cg13722821,TRIP13
cg13723431,SLC6A3
cg13724550,FGF1
cg13724780,MGAT1
cg13725516,PCDHGB1
cg13725579,SFXN1
cg13725763,FBXL21
cg13744194,OCLN
cg13750123,TRIM36
cg13755535,LMAN2
cg13778073,HSPA4
cg13787932,LRRC14B
cg13793354,MCCC2
cg13818875,C5orf42
cg13842648,IL9
cg13847070,KLHL3
cg13849825,CCNB1
cg13850354,STK32A
cg13859478,CANX
cg13880228,PRLR
cg13882309,PCDHB13
cg13883256,FAM174A
cg13896764,SPRY4
cg13898548,PDLIM7
cg13900348,F2RL1
cg13901737,RAI14
cg13902409,CNOT6
cg13904348,HARS2
cg13906121,SIL1
cg13906571,PPIC
cg13906733,FAM193B
cg13907973,IRF1
cg13909534,ADAMTS2
cg13910830,ELL2
cg13912115,RXFP3
cg13912748,NPM1
cg13913407,C1QTNF2
cg13916316,C5orf45
cg13924988,CAST
cg13925975,PCDHB4
cg13926788,NDUFAF2
cg13926788,ERCC8
cg13927251,FLT4
cg13928709,UNC5A
cg13933262,PCDHGB7
cg13941669,NIPAL4
cg13944219,SFRS12
cg13948548,MAPK9
cg13949259,LOC285629
cg13950403,MFAP3
cg13950403,FAM114A2
cg13951490,PCDHGB7
cg13951490,PCDHGA11
cg13954292,ZFR
cg13955436,UBE2QL1
cg13958614,FOXD1
cg13965321,FBXO38
cg13968099,CCNG1
cg13969321,POLS
cg13971355,ZNF354B
cg13971892,PPP2R2B
cg13972793,PCDHGB3
cg13980113,SLC1A3
cg13982529,LOC645323
cg13983063,PPP2R2B
cg13985726,SLC27A6
cg13987669,TARS
cg13991635,FNIP1
cg13993336,PCDHGC3
cg13995101,MEF2C
cg13995389,UQCRQ
cg13996155,FGF10
cg13997901,SERINC5
cg13999099,IL6ST
cg13999415,SSBP2
cg14011639,PCDHGB7
cg14012294,BTF3
cg14016366,PPP1R2P3
cg14046334,LOC729678
cg14047639,PHF15
cg14051306,MIER3
cg14064399,LMNB1
cg14065590,PCDHB11
cg14069412,TXNDC15
cg14069601,EFCAB9
cg14073219,CLK4
cg14074042,PWWP2A
cg14076417,CCL28
cg14079131,CDC20B
cg14079131,MIR449C
cg14081015,RIOK2
cg14081218,CTNND2
cg14088119,LOC285629
cg14098951,PRR7
cg14098966,HDAC3
cg14098966,RELL2
cg14099595,POU4F3
cg14103574,MAT2B
cg14104257,SLC36A1
cg14107883,FASTKD3
cg14107883,MTRR
cg14113010,SNORD95
cg14113010,GNB2L1
cg14114546,LHFPL2
cg14116465,C5orf34
cg14119280,ANKRD34B
cg14119774,WDR41
cg14120129,TGFBI
cg14123879,KIF2A
cg14133921,PPAP2A
cg14133921,RNF138P1
cg14134153,LOC100268168
cg14134153,RPL26L1
cg14135060,TNIP1
cg14136506,SCAMP1
cg14137162,CD180
cg14156760,CAMK4
cg14158363,KIAA0947
cg14161426,ERAP1
cg14162033,G3BP1
cg14177930,C5orf45
cg14181459,SMAD5
cg14189614,SLC45A2
cg14196790,SLC22A5
cg14209133,PCDHGA6
cg14225544,PLK2
cg14242292,H2AFY
cg14253517,PCDHGA12
cg14282596,C5orf32
cg14306451,LOC285696
cg14306451,BASP1
cg14311471,NPR3
cg14319409,GLRA1
cg14325092,DRD1
cg14326885,FLJ11235
cg14326885,EPB41L4A
cg14333176,FEM1C
cg14340928,FLJ44606
cg14345676,HRH2
cg14367485,SNX24
cg14376424,FAM71B
cg14415379,DTWD2
cg14417861,CTNNA1
cg14421717,DHX29
cg14421717,SKIV2L2
cg14441976,SLC27A6
cg14443301,FTMT
cg14443467,PCDHB14
cg14444436,THOC3
cg14445229,TPPP
cg14446808,SQSTM1
cg14446808,MGAT4B
cg14447399,MAT2B
cg14449803,OCLN
cg14450231,DUSP1
cg14452346,SPINK1
cg14452392,CCNH
cg14452947,LOC645323
cg14453949,SEPT8
cg14454798,CPEB4
cg14458068,PCDHGA8
cg14458328,FBXO4
cg14461752,HMHB1
cg14465344,LRRC14B
cg14467103,GEMIN5
cg14468658,PCDHGA3
cg14469019,CAPSL
cg14470895,CDO1
cg14472390,PCDHGB2
cg14473243,BRD8
cg14473243,KIF20A
cg14473646,LOC100303749
cg14473646,ERBB2IP
cg14474582,PDLIM7
cg14475001,PAPD4
cg14478163,ANKRD34B
cg14479198,RASGRF2
cg14479889,APC
cg14483317,RPS14
cg14484145,CD74
cg14490761,ETF1
cg14492773,GPBP1
cg14492800,GDNF
cg14497673,EMB
cg14500258,PCDHB2
cg14502484,SLC6A3
cg14505704,CDH6
cg14506320,SPRY4
cg14507146,C1QTNF3
cg14507193,PLK2
cg14507560,IRX4
cg14509084,RGNEF
cg14511739,APC
cg14514813,PCDHA11
cg14518209,SPARC
cg14518948,CENPH
cg14519115,PLCXD3
cg14522097,CCDC69
cg14522441,PCDHB11
cg14523284,IL13
cg14527110,P4HA2
cg14532748,SLU7
cg14536425,LHFPL2
cg14537507,RAPGEF6
cg14540821,PCDH1
cg14543852,DCTN4
cg14544631,DCTN4
cg14544666,RASGEF1C
cg14546471,MAST4
cg14546708,DBN1
cg14553364,FAM53C
cg14557699,PCDHA12
cg14558428,NR3C1
cg14558566,HDAC3
cg14558566,RELL2
cg14558673,KCNN2
cg14566959,PCDHGA8
cg14566974,RNF14
cg14568217,SNCB
cg14568217,EIF4E1B
cg14569639,DMXL1
cg14570055,PCDHB8
cg14574871,GTF2H2D
cg14574871,GTF2H2C
cg14579239,PCDHA8
cg14580628,NNT
cg14583673,FBXL7
cg14587401,TTC37
cg14587401,ARSK
cg14587604,IL12B
cg14590843,GDNF
cg14591786,RNF180
cg14592099,PCDHB13
cg14593053,CANX
cg14593867,NLN
cg14593867,SGTB
cg14593956,PAIP2
cg14594785,MTMR12
cg14595922,PCDHA9
cg14597388,GZMK
cg14598034,KIF2A
cg14599956,LMAN2
cg14600885,MYOZ3
cg14604000,C5orf13
cg14606768,C9
cg14607812,ADAM19
cg14612625,KCTD16
cg14612625,YIPF5
cg14613470,KLHL3
cg14613972,ATG10
cg14614693,TMED7
cg14614693,TMED7-TICAM2
cg14615553,JAKMIP2
cg14615660,CDKN2AIPNL
cg14615784,GPR150
cg14617041,TMEM171
cg14619259,SPRY4
cg14621323,PFN3
cg14622069,PCDHA7
cg14629055,ANKRD33B
cg14633504,VTRNA1-1
cg14635187,NNT
cg14640659,PCDHB13
cg14640670,PURA
cg14643039,CNOT8
cg14645481,HINT1
cg14648916,CPLX2
cg14650610,SPOCK1
cg14654926,FGF10
cg14655316,TMEM173
cg14658804,SLIT3
cg14662675,DAP
cg14663333,RNF14
cg14666655,WDR41
cg14670974,C5orf52
cg14671666,C5orf51
cg14672084,PCDHGC3
cg14673162,TSPAN17
cg14674856,LTC4S
cg14675871,CSF2
cg14676529,PCDHA10
cg14677130,EGFLAM
cg14677912,TMCO6
cg14678099,CPLX2
cg14681511,PCDHGB8P
cg14681629,LOC153684
cg14681629,C5orf39
cg14682419,FGF1
cg14693112,PPP2R2B
cg14696254,EIF4E1B
cg14696254,SNCB
cg14697642,PKD2L2
cg14699895,FAM151B
cg14700821,ADAMTS6
cg14705319,DOK3
cg14709055,C5orf48
cg14709481,HK3
cg14710984,MGC29506
cg14711201,LMBRD2
cg14711366,TMED9
cg14714391,F2R
cg14714727,KIAA0141
cg14716262,SNORD63
cg14717906,MATR3
cg14718568,F2R
cg14719865,SLCO6A1
cg14722162,C5orf20
cg14724918,SEC24A
cg14724933,GABRG2
cg14725858,C5orf33
cg14726581,SLC6A18
cg14730815,CDH10
cg14732716,GRAMD3
cg14735227,SFXN1
cg14735551,FNIP1
cg14735844,FER
cg14738170,PCDHGA5
cg14739039,DAP
cg14739664,SLC25A2
cg14743594,FBLL1
cg14744511,SIL1
cg14744898,TMEM171
cg14747322,CPEB4
cg14747563,NEUROG1
cg14748160,SLC12A2
cg14748160,FLJ33630
cg14753321,RGS14
cg14753740,CDC20B
cg14753740,MIR449C
cg14756332,C5orf44
cg14756332,TRIM23
cg14759342,SEMA6A
cg14761318,OCLN
cg14771734,ZFYVE16
cg14773260,F2R
cg14773365,HRH2
cg14773728,DCP2
cg14773826,NDUFS4
cg14777161,TRIM52
cg14778348,ARHGAP26
cg14778922,SLC6A7
cg14779106,CDKN2AIPNL
cg14781262,FAM196B
cg14784788,CDC25C
cg14786285,HARS2
cg14786285,HARS
cg14786688,P4HA2
cg14787704,SFRS12
cg14789272,GPX8
cg14793753,ADAMTS6
cg14798760,GPR98
cg14800014,GRAMD3
cg14801593,STK32A
cg14803350,PWWP2A
cg14807248,FLJ11235
cg14807248,EPB41L4A
cg14808329,PHF15
cg14810343,CXXC5
cg14818279,SH3TC2
cg14819088,SLC34A1
cg14819242,GRAMD3
cg14819368,JMY
cg14820908,RUFY1
cg14823763,IRX4
cg14824848,PRELID2
cg14825688,LEAP2
cg14825736,FGF1
cg14826404,MGAT1
cg14827778,FBXL21
cg14834938,ISL1
cg14837896,THBS4
cg14839830,FBXO38
cg14841929,SIL1
cg14845619,C5orf36
cg14845909,ZDHHC11
cg14852282,SAP30L
cg14854901,BTF3
cg14855378,ARSI
cg14856485,C5orf40
cg14859460,GRM6
cg14862791,TTC23L
cg14864853,RGS7BP
cg14865507,DHFR
cg14865507,MSH3
cg14865516,PAIP1
cg14868574,GHR
cg14869845,C5orf13
cg14870539,ANXA6
cg14871225,CXXC5
cg14872580,HMMR
cg14872828,GABRP
cg14873135,TARS
cg14873515,NDST1
cg14874121,HSD17B4
cg14875131,SDCCAG10
cg14875131,SFRS12IP1
cg14875682,PELO
cg14875682,ITGA1
cg14878357,GOLPH3
cg14880800,DNAH5
cg14882577,SHROOM1
cg14887662,C5orf43
cg14890102,LOC340074
cg14904688,LOC285593
cg14908548,MAML1
cg14916382,PARP8
cg14916917,RPS23
cg14920426,PDLIM7
cg14952089,MARCH3
cg14958635,NEUROG1
cg14966252,ZNF622
cg14968860,DUSP1
cg14972155,ESM1
cg14972625,GHR
cg14973408,SGCD
cg14973746,PAIP1
cg14976964,PCBD2
cg14981137,ISL1
cg14988869,GMCL1L
cg14989252,GAPT
cg14990644,TSSK1B
cg14993293,CETN3
cg14995785,LMAN2
cg14997132,VCAN
cg14999833,SCARNA18
cg15006101,PCDHB15
cg15009698,AP3B1
cg15014188,C5orf43
cg15015920,MARCH11
cg15016296,PRRC1
cg15018694,HISPPD1
cg15019273,EFCAB9
cg15020645,APC
cg15021031,PPP2R2B
cg15021292,PIK3R1
cg15022014,FCHO2
cg15024055,ATG10
cg15027262,SNX24
cg15028904,TAF7
cg15030397,PCDHGA7
cg15034135,ADAMTS19
cg15035705,MAML1
cg15035709,C5orf34
cg15037004,ZNF366
cg15038110,PCDHB6
cg15039019,MED10
cg15042995,CYFIP2
cg15043642,ARAP3
cg15044767,PCDHB4
cg15047660,NEURL1B
cg15048991,ADAMTS16
cg15050865,CDH18
cg15051221,FAM153C
cg15082635,SNORD96A
cg15083037,HAPLN1
cg15083845,SLC12A7
cg15084921,TRIO
cg15088822,DIAPH1
cg15089097,CENPH
cg15089314,BHMT2
cg15089370,ZDHHC11
cg15089387,TSLP
cg15092168,HTR1A
cg15095922,MRPL36
cg15095922,NDUFS6
cg15096193,ZFP62
cg15101980,ARSI
cg15102430,FAM196B
cg15111469,LOX
cg15114672,VCAN
cg15116095,PCDHA1
cg15120855,PCDHB5
cg15122171,PRLR
cg15122828,NUDCD2
cg15122828,HMMR
cg15122993,PCDHA12
cg15123984,MSX2
cg15124711,KCNIP1
cg15124968,PCDHGC3
cg15126957,SQSTM1
cg15128898,SPEF2
cg15130459,SNORD72
cg15130840,TARS
cg15134801,ELOVL7
cg15140323,FABP6
cg15141207,HIGD2A
cg15141207,NOP16
cg15145693,CAST
cg15146621,TGFBI
cg15157209,C5orf54
cg15160843,EFNA5
cg15162922,SHROOM1
cg15165084,GRAMD3
cg15165154,CXXC5
cg15167202,SYNPO
cg15174248,CAMK2A
cg15175266,CDH12
cg15175985,SNX2
cg15177964,MGAT1
cg15178714,F12
cg15182643,EGFLAM
cg15188268,ADAMTS19
cg15190401,MEF2C
cg15190754,DDX4
cg15193171,PRDM6
cg15195910,PLEKHG4B
cg15196042,ARRDC3
cg15197065,CMYA5
cg15201175,SEMA6A
cg15201400,GNPDA1
cg15203403,SFXN1
cg15204816,PPAP2A
cg15204816,RNF138P1
cg15206834,NUDT12
cg15207662,HRH2
cg15212349,SLC6A3
cg15213488,CDH12
cg15216232,IL12B
cg15216925,CNOT6
cg15219393,PPARGC1B
cg15219433,IL6ST
cg15220253,FAM105B
cg15223781,FER
cg15225701,FER
cg15230273,EFNA5
cg15234096,LIX1
cg15241708,CNOT6
cg15260250,ATG12
cg15260250,AP3S1
cg15269294,NUP155
cg15288179,SUB1
cg15296538,AACSL
cg15329133,SMAD5
cg15329179,IL13
cg15333689,SLU7
cg15335117,FBXO4
cg15336997,VCAN
cg15337887,SLC30A5
cg15340582,ANKHD1
cg15340582,ANKHD1-EIF4EBP3
cg15345415,G3BP1
cg15351009,LRRC14B
cg15351446,TAF7
cg15361590,PCDHGC4
cg15363776,C5orf47
cg15368455,GDNF
cg15370208,ATP10B
cg15371617,HAVCR2
cg15371881,FGF1
cg15376367,TBCA
cg15376615,HAND1
cg15380263,FSTL4
cg15381875,FAM151B
cg15385386,SAR1B
cg15386377,LIFR
cg15387943,MRPS36
cg15389068,PCDHB2
cg15389519,PCDHGB4
cg15390518,PPP2R2B
cg15391499,MCC
cg15393051,TCERG1
cg15395441,TICAM2
cg15396653,NRG2
cg15400593,IL31RA
cg15405432,FLJ44606
cg15407517,ARSB
cg15408073,RXFP3
cg15409013,ADAMTS16
cg15409468,RNASEN
cg15409468,C5orf22
cg15410418,PDE4D
cg15412498,MAP1B
cg15413523,TCF7
cg15413909,SLC30A5
cg15414042,DUSP1
cg15414982,PCDHB8
cg15415509,ADRB2
cg15419211,PGGT1B
cg15420035,SQSTM1
cg15420687,PWWP2A
cg15421363,IRF1
cg15421962,BNIP1
cg15421984,RICTOR
cg15426956,RGS7BP
cg15433309,CDC20B
cg15433309,MIR449C
cg15437432,TMED9
cg15442702,FGFR4
cg15444648,FLJ42709
cg15452204,CDX1
cg15453943,RAB9P1
cg15467759,NDST1
cg15489294,LVRN
cg15512961,ANXA6
cg15516226,BTNL9
cg15518950,TMEM171
cg15525848,FAM134B
cg15528722,TTC33
cg15529680,KIAA0947
cg15531486,C5orf51
cg15534020,MRPL22
cg15536575,FBXO38
cg15537433,NDUFA2
cg15537433,IK
cg15538669,HSPA9
cg15539995,TARS
cg15541008,ELL2
cg15543452,RFESD
cg15545486,TRIM52
cg15547624,FAM53C
cg15548198,PCDHB12
cg15549761,RGMB
cg15551292,SRP19
cg15552172,C5orf4
cg15555956,PCDHB18
cg15555995,PCDH1
cg15556672,MRPS36
cg15557084,SEMA6A
cg15557878,TSLP
cg15558103,ANKRD32
cg15558103,C5orf36
cg15563057,PURA
cg15567634,HARS2
cg15567634,HARS
cg15593187,HSPA9
cg15599832,OSMR
cg15600669,MARCH3
cg15602329,FSTL4
cg15605409,ZNF131
cg15611624,NIPAL4
cg15613340,PCDHB5
cg15613420,H2AFY
cg15619794,IL5
cg15622912,CPLX2
cg15623550,B4GALT7
cg15623892,SNX2
cg15625785,SAR1B
cg15630459,CPLX2
cg15637095,FGF18
cg15637465,SLIT3
cg15640707,CETN3
cg15642200,DPYSL3
cg15644174,TMEM171
cg15645634,NR3C1
cg15646382,TMCO6
cg15646817,RASGRF2
cg15649828,PCBD2
cg15650694,SFRS12
cg15656113,C5orf41
cg15656769,LHFPL2
cg15658376,HNRNPAB
cg15658426,CCDC112
cg15664067,RASA1
cg15664899,TCF7
cg15671158,CAMLG
cg15672768,PCDHGB2
cg15674129,CAPSL
cg15676060,XRCC4
cg15676241,ITGA2
cg15680989,SLC12A7
cg15685672,ELL2
cg15686437,HINT1
cg15687622,MGAT1
cg15690760,POLS
cg15695624,LOC100303749
cg15695624,ERBB2IP
cg15697257,SYNPO
cg15699524,FGF18
cg15710554,SIL1
cg15710789,PPAP2A
cg15710789,RNF138P1
cg15713707,KCNIP1
cg15715507,DND1
cg15716405,EDIL3
cg15717637,CSNK1G3
cg15720765,LHFPL2
cg15730313,LRRC14B
cg15739437,TSLP
cg15739543,POLS
cg15790852,CNOT6
cg15811883,TSSK1B
cg15813090,C5orf55
cg15813090,EXOC3
cg15813594,EGFLAM
cg15815587,ZMAT2
cg15817406,AGGF1
cg15817464,IRGM
cg15820273,CAST
cg15823954,HMHB1
cg15827031,NUP155
cg15829642,PCDHGA5
cg15833209,LMAN2
cg15833873,FER
cg15835713,FAM169A
cg15835805,SHROOM1
cg15841415,SLC1A3
cg15844835,FCHSD1
cg15851800,PRRC1
cg15852891,OTP
cg15870379,FER
cg15873715,DAB2
cg15874031,NHP2
cg15874877,PCDHGB7
cg15874877,PCDHGA11
cg15875068,RFESD
cg15879084,NSUN2
cg15879084,SRD5A1
cg15882762,TSSK1B
cg15886004,MGAT1
cg15886008,KIAA1191
cg15888087,H2AFY
cg15890173,ANKRD31
cg15896301,HSD17B4
cg15897774,FASTKD3
cg15897774,MTRR
cg15899948,SLC27A6
cg15901678,RNASEN
cg15901722,PCDH24
cg15907795,WNT8A
cg15910414,ETF1
cg15910486,NR3C1
cg15911153,LOC389333
cg15911328,PCDHB8
cg15917704,MED7
cg15919833,CAST
cg15923025,EIF4EBP3
cg15924831,PDGFRB
cg15926342,SH3PXD2B
cg15927720,SLIT3
cg15927927,PPP2R2B
cg15929201,RNASEN
cg15929201,C5orf22
cg15931047,DIMT1L
cg15933130,HNRNPA0
cg15936504,GIN1
cg15937174,HAND1
cg15941164,TBCA
cg15941948,C5orf38
cg15941948,IRX2
cg15943396,TTC1
cg15946310,TTC1
cg15947959,ERGIC1
cg15949044,PCDHGC4
cg15951280,LOC728613
cg15951557,GFRA3
cg15954782,SEPT8
cg15955522,KCTD16
cg15956008,MRPS30
cg15956794,DCP2
cg15959319,GOLPH3
cg15961744,PCDHA9
cg15962267,MATR3
cg15962267,SNORA74A
cg15963563,EBF1
cg15966106,SEMA5A
cg15966954,IL9
cg15968604,C5orf52
cg15972383,MCTP1
cg15972617,GM2A
cg15979839,MTX3
cg15981305,LOC645323
cg15982655,BNIP1
cg15985126,SAR1B
cg15988320,PCDHGC5
cg15991700,MAPK9
cg15992333,REEP5
cg15992940,SNHG4
cg15992940,MATR3
cg15994999,GEMIN5
cg15996282,LMBRD2
cg15996282,SKP2
cg15999165,PAM
cg16000059,SNORA13
cg16000227,VCAN
cg16003274,APBB3
cg16003274,SLC35A4
cg16009381,BOD1
cg16014000,PCDHAC1
cg16019898,TAF7
cg16021428,ADCY2
cg16023551,FAM134B
cg16024318,SLC6A7
cg16025094,CPLX2
cg16026902,LOC285593
cg16027343,TRIM7
cg16031133,ANKHD1
cg16031133,ANKHD1-EIF4EBP3
cg16045612,IL12B
cg16048517,CTNND2
cg16048537,RICTOR
cg16049600,PCDHB11
cg16051002,PCDHB11
cg16051089,PELO
cg16051089,ITGA1
cg16054086,UBTD2
cg16055026,LOC645323
cg16059596,ARHGAP26
cg16063617,ISOC1
cg16068490,ADAMTS16
cg16075209,MRPS30
cg16084842,SDCCAG10
cg16084842,SFRS12IP1
cg16087023,SAP30L
cg16087093,FOXI1
cg16087267,MTMR12
cg16090192,GFM2
cg16090273,TCOF1
cg16091952,ZNF354C
cg16096308,KLHL3
cg16097330,STK10
cg16097596,SNORD96A
cg16099804,EDIL3
cg16101493,POU4F3
cg16101703,SFRS12
cg16102102,HAPLN1
cg16105591,CPLX2
cg16105594,MEF2C
cg16110711,APC
cg16112129,DRD1
cg16113047,LMBRD2
cg16113047,SKP2
cg16113530,CCDC112
cg16125375,PPP2R2B
cg16126280,EBF1
cg16126816,EGFLAM
cg16131300,RNASEN
cg16131300,C5orf22
cg16134323,PCDHB16
cg16136840,CAST
cg16137007,FOXI1
cg16138150,GDNF
cg16138854,ERAP1
cg16141228,CLINT1
cg16143654,PCDHA2
cg16144934,GALNT10
cg16150752,MARCH11
cg16151250,PPAP2A
cg16151250,RNF138P1
cg16151977,OCLN
cg16153986,FNIP1
cg16154332,FBXL21
cg16159717,ZSWIM6
cg16160720,RASA1
cg16161425,DHFR
cg16163558,HTR4
cg16166802,CENPH
cg16172240,NMUR2
cg16174029,PCDHAC2
cg16176675,TIFAB
cg16179182,VTRNA1-1
cg16180821,SLC6A3
cg16182055,ETF1
cg16182986,MARCH11
cg16184131,IL5
cg16184242,CDC42SE2
cg16188038,ZNF622
cg16189644,LNPEP
cg16195496,ZFYVE16
cg16198450,FABP6
cg16198571,RAPGEF6
cg16198692,CDO1
cg16200469,C5orf33
cg16205897,P4HA2
cg16209364,MATR3
cg16211736,MTMR12
cg16219583,TRPC7
cg16221201,ZNF366
cg16225168,MEF2C
cg16230060,CKMT2
cg16230720,PCSK1
cg16233489,WDR70
cg16234172,ARHGAP26
cg16234335,PCDHA4
cg16235371,PCDHB10
cg16235707,IQGAP2
cg16240137,STK10
cg16245345,CNOT6
cg16246489,H2AFY
cg16250754,CARD6
cg16253537,FNIP1
cg16256592,C5orf25
cg16257040,RMND5B
cg16261572,CBY3
